Alfa romeo,Bilmerke,,,,,,
Brera,,,,,,,
520i E60 (2003-..),125kW,170hk,138kW,187hk,210Nm,235Nm,
523i E39 (1996-03),125kW,170hk,140kW,190hk,245Nm,270Nm,
525i E39 (2000-04),141kW,192hk,154kW,210hk,245Nm,275Nm,
525i E60 (2003-..),141kW,192hk,154kW,210hk,245Nm,275Nm,
528i E39 (1996-03),142kW,193hk,154kW,210hk,280Nm,305Nm,
530i E34,138kW,188hk,151kW,205hk,260Nm,310Nm,
530i E39 (2000-03),170kW,231hk,185kW,243hk,300Nm,330Nm,
530i E60 (2003-..),170kW,231hk,185kW,251hk,300Nm,332Nm,
535i E39 (1996-98),173kW,235hk,188kW,255hk,320Nm,355Nm,
535i E39 (1999-03),180kW,245hk,195kW,265hk,345Nm,380Nm,
540i E39 (1996-98),210kW,286hk,229kW,311hk,420Nm,452Nm,
540i E39 (1999-03),210kW,286hk,229kW,311hk,440Nm,472Nm,
545i E60 (2003-..),245kW,333hk,258kW,351hk,450Nm,476Nm,
M5 E39 (1999-01),294kW,400hk,320kW,435hk,500Nm,548Nm,
520d E39,100kW,136hk,121kW,166hk,280Nm,335Nm,
520d E60,120kW,163hk,149kW,202hk,340Nm,400Nm,
520d E60 face lift (2007-2010),120kW,163hk,158kW,215hk,350Nm,410Nm,
520d E60 face lift (2007-2010),130kW,177hk,158kW,215hk,350Nm,410Nm,
520d F10 (2010 - ...),120kW,163hk,162kW,221hk,380Nm,450Nm,
520d F10 (2010 - ...),135kW,184hk,162kW,221hk,380Nm,450Nm,
524 TD E34 (1988-91),85kW,115hk,103kW,140hk,220Nm,262Nm,
525 TD E34 (1991-95),85kW,115hk,103kW,140hk,220Nm,262Nm,
525 TDS E34,105kW,143hk,125kW,170hk,260Nm,330Nm,
525 TDS E39,105kW,143hk,125kW,170hk,280Nm,330Nm,
525d E39,120kW,163hk,140kW,190hk,350Nm,410Nm,
525d E60,120kW,163hk,154kW,210hk,400Nm,480Nm,
525d E60,130kW,177hk,154kW,210hk,400Nm,480Nm,
525d E60 3L.,145kW,197hk,174kW,237hk,400Nm,500Nm,
325d F10 (2010-..).,150kW,204hk,179kW,244hk,450Nm,540Nm,
530d E39,135kW,184hk,161kW,220hk,390Nm,510Nm,
530d E39,142kW,193hk,169kW,230hk,410Nm,510Nm,
530d E60,160kW,218hk,180kW,260hk,500Nm,610Nm,
530d E60,170kW,231hk,199kW,270hk,500Nm,610Nm,
530d F10 (2010-..),180kW,245hk,204kW,278hk,540Nm,650Nm,
530d E60,200kW,272hk,235kW,320hk,560Nm,650Nm,
535d E60,210kW,286hk,336kW,347hk,580Nm,710Nm,
